LINE,STATION,IN_WEEKDAY,IN_FRI,IN_SAT,IN_SUN,OUT_WEEKDAY,OUT_FRI,OUT_SAT,OUT_SUN,ANNUALISED_INANDOUT
LU,Acton Town,6851.444444,6899.1,5656.875,3961.25,6886.444444,6691.1,5558.75,4174.25,2902696.681
LU,Aldgate,8037.733333,6689.888889,5035.375,3584.75,9655.266667,8610.555556,7452.875,4594.5,3525128.322
LU,Aldgate East,12751.2,13270.18182,13617.11111,9980.125,11984.35,12881.90909,12951.11111,8260.875,5611129.828
LU,Alperton,3108.888889,3121,2542.571429,1654.222222,3346.611111,3324.666667,2537,1732.444444,1345253.102
LU,Amersham,2384.052632,2248.666667,1744.857143,1089.285714,2315.210526,2174.666667,1544.714286,1062.857143,946577.0465
LU,Angel,16233.65,17600.55556,14285.5,9694.375,17205.4,19337.22222,15229.1,9889.875,7258743.914
LU,Archway,9878,10129.7,8148.363636,5549,9317.65,9050.7,7016.636364,5273.3,4027456.25
LU,Arnos Grove,4685.8,4832.111111,4257,3066.818182,4346.9,4373.222222,3834.909091,2954.636364,1963342.838
LU,Arsenal,2846.578947,3150.571429,2910.7,2050.375,2520.842105,2539.571429,2454.1,2036,1209092.631
LU,Baker Street,26481.4,26298.63636,20713.90909,14374,26851.7,27028.90909,21177.45455,14622.3,11147641.52
LU,Balham LU,11979.8,12553.11111,12222.90909,7519.857143,12597.6,12105.44444,11727.54545,7755.285714,5356511.989
LU,Bank and Monument,47851.95,35145.88889,19493.5,11930.4,50706.95,38872.88889,22557.5,12429.5,17657529.46
LU,Barbican,8778.315789,7848.909091,4749.181818,3029.727273,9376.736842,8406.545455,5182.727273,3168.454545,3467856.071
LU,Barking,22400.75,22523.85714,17313.4,11592.8,22258.05,22301.85714,16920.4,11481.9,9272519.48
LU,Barkingside,1585.8,1536,1045.6,670.6363636,1664.55,1568.1,1068.3,707.0909091,647202.7762
LU,Barons Court,7268.3,6988.125,5244.714286,3668,7024.1,6394.125,4662.571429,3691.272727,2900237.211
LU,Bayswater,3051,3529.2,4187.5,3248.888889,2987.210526,3546.5,4045.75,2677.333333,1498956.886
LU,Becontree,4425.125,4394.4,3042,1905.1,4325.9375,4212.4,2832.166667,1895,1759768.378
LU,Belsize Park,6465.4,6448.7,4498.545455,3350.555556,6332.3,6014.3,4253.363636,3272,2609939.282
LU,Bermondsey,9737.4,10097.2,9101.545455,6027.142857,9502.55,9532.8,8795,5956.142857,4176708.925
LU,Bethnal Green LU,14524.55,15583.4,14333.63636,10276,13771.2,14582,13756.09091,9732.636364,6322604.083
LU,Blackfriars LU,12199.05,10286.16667,8879.111111,6667.1,11666.8,9929,7897.333333,6099.2,4795990.474
LU,Blackhorse Road,12056.65,12328.5,10422.1,6999.444444,11456.8,11186.1,9233.8,6748,4985900.779
LU,Bond Street,35930.31579,34595,36511.8,21311.22222,36693.05263,35134.22222,36422.4,20770.44444,15694939
LU,Borough,4834,5047.5,4177.428571,2606.875,4873.894737,4979.625,4264.428571,2663.625,2066433.712
LU,Boston Manor,2067.8,2117.777778,1710.333333,1148.625,2141.25,2092.666667,1549,1188.375,879894.7388
LU,Bounds Green,5904.35,6113.3,5278.090909,3721.909091,5739.45,5734.9,4854.363636,3701.818182,2509255.341
LU,Bow Road,5518.35,5622.181818,4335.625,2945.75,5344.8,5048.272727,3910.375,3032,2257179.893
LU,Brent Cross,2666.166667,2416.666667,1777.818182,1642.9,2576.888889,2324,1705.363636,1618.7,1071927.242
LU,Brixton LU,28197.68421,31524,31360.2,20600.18182,27433.94737,31128.8,31132.5,20248.72727,12831055.52
LU,Bromley-by-Bow,5020.95,5073.555556,3430.625,2535,4988,4740.333333,3112.75,2555.5,2030518.692
LU,Buckhurst Hill,2684.9375,2510.5,2124.125,1202.5,2609.875,2361.9,1917.25,1187.1,1072751.367
LU,Burnt Oak,4751.263158,4717.9,3344.555556,2429.222222,4605.105263,4465.1,3143.666667,2377.111111,1912270.138
LU,Caledonian Road,5868,6148.5,4862.1,3481.5,5536.894737,5447.625,4351.5,3405.375,2421295.422
LU,Camden Town,16728.42105,20125.22222,28059,18815.5,17342.31579,22357.55556,31247.16667,19218.25,9118496.574
LU,Canada Water,12239.05556,13429.625,17208.09091,9602,12442.77778,14927.5,17212.54545,9672.5,5970316.666
LU,Canary Wharf LU,44824.7,37978.4,32852.18182,22234.11111,46446.1,39230.4,33862.63636,22539.11111,18288801.95
LU,Canning Town,16995.94118,17994.75,16135.11111,12443,16972.58824,17631.625,15699.55556,12006.33333,7522671.765
LU,Cannon Street LU,6055.684211,4826.571429,3269.9,2116.444444,5398.210526,4288.142857,2939,1778.333333,2147772.273
LU,Canons Park,3018.736842,2878.875,2495.6,1517.545455,3020.894737,2796.125,2435.9,1543.818182,1249231.29
LU,Chalfont & Latimer,1946.440279,1689.981364,1252.938193,751.0919856,1768.417703,1577.304715,1324.901778,848.4644311,736602.0822
LU,Chalk Farm,5061.133333,5863.666667,6081.444444,3758.666667,4423.133333,4903.555556,4832.555556,3099.111111,2195398.045
LU,Chancery Lane,15159.71429,11106.55556,4969.111111,2539.5,16449.78571,12485.33333,5482.111111,2594.875,5469516.062
LU,Charing Cross LU,15475.7,16201.8,20094.90909,12017.22222,15393.75,16316.9,17935.09091,10602.77778,7154835.211
LU,Chesham,1306.8125,1262.5,911,542.125,1235.5625,1165.25,823.4285714,493,507494.685
LU,Chigwell,558.4117647,515.125,261.6,143.4444444,465.7058824,427.875,235.8,143.3333333,192328.26
LU,Chiswick Park,2321.25,2178.857143,1955,1223.714286,2583.45,2369.571429,1966.857143,1361.571429,1013033.087
LU,Chorleywood,2376.305314,1970.957052,1426.720635,1070.043848,1746.67805,1472.089018,1014.710616,892.5382551,803804.7384
LU,Clapham Common,10183.2,10771.55556,10637.54545,6795.909091,10853.5,11489.88889,11676.90909,7162.272727,4712091.771
LU,Clapham North,7291.55,7984.4,7733.4,4636.272727,7277.85,7880.9,7984.5,4632.636364,3273797.329
LU,Clapham South,9042.45,8876.666667,7919.666667,5016,8842.4,8012.666667,7222.444444,5211.375,3758230.608
LU,Cockfosters,1727.1,1962.142857,2128.222222,1605.285714,1752.95,1927.285714,2033,1754.857143,836565.951
LU,Colindale,8351.888889,8359.3,6672,4784.727273,8042.833333,7807.4,6079.5,4642.818182,3432151.607
LU,Colliers Wood,7143.25,7405.125,6606.285714,4540,6877.2,6683.75,5803.857143,4446.909091,3024059.918
LU,Covent Garden,13186.26316,15368.3,19273.83333,12925.42857,15862.68421,20304,26934.66667,15624.57143,7484431.561
LU,Croxley,1277.117647,1184.5,746.8571429,403,1268.941176,1127.5,694.5714286,434.3333333,487950.0486
LU,Dagenham East,3820.736842,3775.5,2596.125,1773.5,3588.052632,3464.6,2426.625,1635.5,1496281.617
LU,Dagenham Heathway,7159.8,7066.272727,4753,3164.375,7132.25,6959.818182,4630.333333,3147.625,2869563.75
LU,Debden,2851.05,2740,1876,1054.6,2766.4,2595.625,1732.2,1047.3,1106863.293
LU,Dollis Hill,4668.833333,4687.5,3697.363636,2659.272727,4267.944444,4098.8,3155.636364,2439.727273,1865452.746
LU,Ealing Broadway,16138.26316,16352.9,14070.28571,9638.222222,16401.47368,16177.7,13760.71429,9830.222222,6934968.405
LU,Ealing Common,2987.842105,3099.6,2769.444444,1888.888889,3046.526316,3085.4,2708,1920.111111,1308099.979
LU,Earl's Court,18590.22222,19894.36364,18993.27273,13482.3,18778.88889,20572.90909,19230.45455,12595.6,8396551.722
LU,East Acton,3000.833333,2943.5,2099,1449.888889,3547.5,3324.2,2340,1829.444444,1326939.265
LU,East Finchley,6913.9,6824.2,5486.1,3482.363636,6689.55,6349.9,4960.2,3554.272727,2809497.571
LU,East Ham,14634.6,14477.90909,10840,7568.222222,14387.2,13911.81818,10301.55556,7485.111111,5966757.238
LU,East Putney,7156,6891.222222,6148.9,4006,7197.466667,6579.222222,5799.5,4228.6,3007533.489
LU,Eastcote,2936.052632,2950.4,2222.666667,1254.285714,2889.263158,2890.1,2082.222222,1262.714286,1187713.644
LU,Edgware,5356.235294,5194.3,4277.375,3191.545455,5528.470588,5250.7,4278,3267.181818,2278683.427
LU,Edgware Road (Bak),5294.5,4910.5,4035.1,2466,5518.1875,5052.875,3992.4,2394.777778,2183057.649
LU,Edgware Road (DIS),6908.157895,6702.7,5366.75,3556.75,6796.789474,6647.4,5452.25,3409.75,2838710.282
LU,Elephant & Castle LU,18177,19814.2,17985.57143,11588.5,17436.6,19042.5,16661.28571,11102.125,7881462.56
LU,Elm Park,3649.333333,3389.1,2134.375,1438,3552.944444,3233.3,2081.625,1499,1406370.098
LU,Embankment,17860.2,19044.1,21926.7,14530.8,17311.75,18747.3,21707.8,13218.2,8251813.179
LU,Epping,4365.189842,4308.722911,3980.778676,2492.738375,4614.608727,4513.781572,3567.250057,2468.73915,1890743.389
