LINE,STATION,IN_MON,IN_TUE_TO_THU,IN_FRI,IN_SAT,IN_SUN,OUT_MON,OUT_TUE_TO_THU,OUT_FRI,OUT_SAT,OUT_SUN,ANNUALISED_INANDOUT
LU,Acton Town,7304.888889,8194,7973.444444,7211,4661.5,7443.888889,8169.555556,7995.777778,8128.8,4991,4931971.567
LU,Aldgate,10032.66667,12378.44444,9332.375,6280,5242.142857,11065,14274.3,11336.33333,7702.6,5723.857143,6902494.473
LU,Aldgate East,15100.5,17401.77778,17181.25,15537.25,12077,14179.5,16538.22222,16344.25,14430.75,10699,10229487.64
LU,Alperton,3692.75,3734.4,3746.375,3024,2214.333333,3950.125,3923.5,3948.875,3066.25,2320.166667,2302972.999
LU,Amersham,2614.237336,3129.301803,2479.048755,2194.104952,1203.456752,2518.905521,3043.253752,2509.395689,2022.495048,1153.793248,1657141.466
LU,Angel,16133.71429,20183.66667,19295.71429,18601.2,11518,17209.875,22019,21532.71429,20241,11747.5,12371591.51
LU,Archway,10424,11968.66667,11663.375,9796,6450,10089.71429,11434.11111,10709.625,8938.8,6191.25,6798862.343
LU,Arnos Grove,5066.25,5623.1,5517.444444,5201,3382.285714,4740.375,5336.666667,5212.444444,4893.8,3221.333333,3299601.276
LU,Arsenal,2968.35,3582.8,3673.950581,3694.217258,2352.694012,2815.15,3260.888889,3216.674419,3421.982742,2281.139322,2115609.222
LU,Baker Street,31728.88889,34826.2,33308.75,28326.4,18449.66667,32204.11111,35310.9,34363,28350.6,18869.66667,20518901.17
LU,Balham LU,12664.66667,16108.6,14844.5,14056.2,8065.285714,12851.88889,15988.1,14294,14160,8617.571429,9216499.803
LU,Bank and Monument,50401.44677,72843.57644,46483.00613,26454.6,15338.10846,52864.2199,76118.12356,49391.43832,27688.8,15640.29154,34408043.98
LU,Barbican,8205.625,9898.7,8261,5289.6,3543,8824.125,10611.5,8767.444444,5767.8,3746.5,5361855.175
LU,Barking,23927.90183,24797.15047,24638.38527,19466.86533,13524.08665,23883.09817,24721.44953,24284.17028,17912.73467,13118.78835,14556327.12
LU,Barkingside,1782.625,2009.9,1756.428571,1290.2,822.25,1836.75,2065.333333,1819.142857,1322.2,859.75,1116038.701
LU,Barons Court,7986.142857,9355.5,8259.111111,6369.6,4247.857143,7953.222222,9101,7986,6138.8,4286.571429,5110605.087
LU,Bayswater,5120.111111,5284.111111,5719.888889,5602.8,4577,4670.444444,4939.444444,5484.222222,5193.4,3888.333333,3337844.114
LU,Becontree,4509.111111,4848.2,4800,3295.5,2195.5,4359.555556,4571.2,4473.833333,2820.5,2116.75,2674391.034
LU,Belsize Park,7065.955692,8201.460596,7483.430538,5838.218718,4253.033498,7032.794308,8068.239404,7281.319462,5636.181282,4193.537931,4592788.929
LU,Bermondsey,9769.888889,11160,11045.77778,10760.2,6734.428571,9515.444444,10817.6,10620.88889,10856.8,6726.428571,6680814.223
LU,Bethnal Green LU,14395.44444,16611.88889,17346.5,18081.2,11706,13644.22222,15576.11111,16629.375,17381,10951.625,10197950.93
LU,Blackfriars LU,13916.72759,17935.91579,12905.35095,12142.30693,8706.696987,13358.82796,17328.48421,12385.274,11298.09307,9388.615418,9407135.698
LU,Blackhorse Road,13036.62759,14673.18192,14418.69451,12988.77772,8501.926866,12386.70575,13845.89108,13299.40061,12032.22228,8508.871613,8505240.448
LU,Bond Street,51918.25,62430.7,53546.66667,42225.25,39965.25,52459.75,62659.5,54833,43215.5,39082.75,35413724.21
LU,Borough,5181.888889,6707.7,5876.5,5230.5,3289.428571,5168.888889,6710,5839.5,5240.5,3455.142857,3742967.136
